input_len, bs, total, throughput, qkv_proj, q_mul_k, a_mul_v, o_matmul, ffn_matmul1, ffn_matmul2, ffn_matmul3, hadamard_mul, softmax, layernorm, activation, allreduce
4096, 1, 146.37807772624282, 27.982332215486284, 22.352394727619046, 7.396914387301587, 7.396914387301587, 8.246259646984127, 11.655379951746031, 11.655379951746031, 11.655379951746031, 0.023541383336184774, 3.9834650408274364, 29.6660102340773, 14.761294255557457, 17.585143808
32768, 1, 1211.342388750418, 27.050981047400164, 178.81915782095237, 78.41318944507935, 78.41318944507935, 65.97007717587302, 93.24303961396825, 93.24303961396825, 93.24303961396825, 0.1883310666894782, 33.70973857376157, 237.3280818726184, 118.09035404445966, 140.681150464
131072, 1, 5398.32665519039, 24.28011648275799, 715.2766312838095, 577.4864631060318, 577.4864631060318, 263.88030870349206, 372.972158455873, 372.972158455873, 372.972158455873, 0.7533242667579128, 160.12864383233534, 949.3123274904736, 472.36141617783863, 562.724601856
4096, 8, 154.51745444042092, 212.0666569266758, 22.472925857376154, 11.006355098412698, 11.006355098412698, 8.290464540010888, 11.727091039738704, 11.731907240065325, 11.727091039738704, 0.023541383336184774, 4.118029657049537, 29.734507305389222, 14.761294255557457, 17.917891925333333
32768, 8, 1550.8352888261581, 169.03406950355074, 179.78340685900923, 241.9538355606349, 241.9538355606349, 66.3237163200871, 93.81672831790964, 93.8552579205226, 93.81672831790964, 0.1883310666894782, 39.833901012520414, 237.87605844311378, 118.09035404445966, 143.34313540266666
131072, 8, 10519.229231283616, 99.68182810215714, 719.1336274360369, 3078.4849848482545, 3078.4849848482545, 265.2948652803484, 375.26691327163854, 375.4210316820904, 375.26691327163854, 0.7533242667579128, 253.88439481763749, 951.5042337724551, 472.36141617783863, 573.3725416106666
4096, 16, 163.42222576586158, 401.0225640537707, 22.50985005988024, 15.131430196825395, 15.131430196825395, 8.304199629831245, 11.74582070767556, 11.772220620577027, 11.74582070767556, 0.04708276667236955, 4.181888905824715, 29.777317974959175, 14.776988511114915, 18.298175488
32768, 16, 1932.2654302937156, 271.33332293809406, 180.07880047904192, 428.8574311212698, 428.8574311212698, 66.43359703864996, 93.96656566140447, 94.17776496461622, 93.96656566140447, 0.3766621333789564, 42.730756320087096, 238.2185437996734, 118.21590808891932, 146.385403904
131072, 16, 16299.019266273819, 128.6673735234769, 720.3152019161677, 5936.769009696507, 5936.769009696508, 265.73438815459986, 375.8662626456179, 376.71105985846486, 375.8662626456179, 1.5066485335158255, 298.2019999564507, 952.8741751986936, 472.8636323556773, 585.541615616
4096, 32, 181.33237349023236, 722.8273555193955, 22.606530821992376, 23.381580393650793, 23.381580393650793, 8.332204942841589, 11.791842177463254, 11.852847381600435, 11.791842177463254, 0.0941655333447391, 4.370434229722374, 29.86222580293958, 14.808377022229827, 19.058742613333333
32768, 32, 2698.1823950361245, 388.62309750781736, 180.852246575939, 802.6646222425397, 802.6646222425397, 66.65763954273271, 94.33473741970603, 94.82277905280348, 94.33473741970603, 0.7533242667579128, 51.262922765378335, 238.89780642351664, 118.46701617783862, 152.46994090666666
131072, 32, 27901.729658823642, 150.32415736540526, 723.408986303756, 11653.337059393016, 11653.337059393016, 266.63055817093084, 377.3389496788241, 379.29111621121393, 377.3389496788241, 3.013297067031651, 428.6946288949374, 955.5912256940666, 473.86806471135446, 609.8797636266667
